"Project";"Task";"Date";"Start";"End";"Duration";"Comment"
"PhotoOps";"Programming";"2013-10-14";"2013-10-14 14:45:00";"2013-10-14 16:00:00";"01:14:59";"prototype hubs detail
got the Y coordinate"
"PhotoOps";"Programming";"2013-10-14";"2013-10-14 17:15:00";"2013-10-14 19:15:00";"02:00:00";"prototype hubs detail"
"PhotoOps";"Programming";"2013-10-15";"2013-10-15 09:00:00";"2013-10-15 10:15:00";"01:15:00";"prototype hub detail page
produce demo page"
"PhotoOps";"Programming";"2013-10-15";"2013-10-15 10:15:00";"2013-10-15 11:15:00";"00:59:59";"style menu
"
"PhotoOps";"Programming";"2013-10-15";"2013-10-15 11:30:00";"2013-10-15 11:45:00";"00:14:59";"modify db / add fields to users table"
"PhotoOps";"Programming";"2013-10-15";"2013-10-15 11:45:00";"2013-10-15 12:00:00";"00:14:59";"research zip / postal code support with FB
found that they may support lat / long through locationID"
"PhotoOps";"Programming";"2013-10-15";"2013-10-15 12:00:00";"2013-10-15 12:15:00";"00:14:59";"send link / email to michael regarding hub detail page prototype"
"PhotoOps";"Programming";"2013-10-16";"2013-10-16 09:00:00";"2013-10-16 14:00:00";"04:59:59";"continue explorations into hub detail effects"
"PhotoOps";"Programming";"2013-10-16";"2013-10-16 20:15:00";"2013-10-16 21:00:00";"00:45:00";""
"PhotoOps";"Programming";"2013-10-17";"2013-10-17 09:30:00";"2013-10-17 15:00:00";"05:29:59";"implement hub detail panel in app"
"PhotoOps";"Programming";"2013-10-17";"2013-10-17 17:30:00";"2013-10-17 19:00:00";"01:30:00";""
"PhotoOps";"Programming";"2013-10-17";"2013-10-17 19:15:00";"2013-10-17 20:00:00";"00:45:00";""
"PhotoOps";"Programming";"2013-10-17";"2013-10-17 21:45:00";"2013-10-17 22:15:00";"00:30:00";"linker error / ios7"
"PhotoOps";"Programming";"2013-10-18";"2013-10-18 09:30:00";"2013-10-18 11:15:00";"01:44:59";"test on iPhone5 / iOS7
splash screen
adjust header "
"PhotoOps";"Programming";"2013-10-18";"2013-10-18 11:15:00";"2013-10-18 11:30:00";"00:15:00";"linker error"
"PhotoOps";"Programming";"2013-10-18";"2013-10-18 11:30:00";"2013-10-18 12:45:00";"01:15:00";"style hub detail page
other tweaks"
"PhotoOps";"Programming";"2013-10-18";"2013-10-18 17:15:00";"2013-10-18 17:30:00";"00:14:59";"adhoc build"
"PhotoOps";"Programming";"2013-10-21";"2013-10-21 09:30:00";"2013-10-21 10:45:00";"01:15:00";"PO sprint 5 prototyping planning
use pull technology for desktop client?"
"PhotoOps";"Programming";"2013-10-21";"2013-10-21 11:15:00";"2013-10-21 12:15:00";"01:00:00";"filter incoming topOfPanel data"
"PhotoOps";"Programming";"2013-10-21";"2013-10-21 13:30:00";"2013-10-21 14:30:00";"01:00:00";"research / choose push provider"
"PhotoOps";"Programming";"2013-10-22";"2013-10-22 10:00:00";"2013-10-22 15:15:00";"05:15:00";"setup push apple / ua / etc"
